"계정항목별",2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4
"최종소비지출",0.4,0.5,0.3,0.2,0.5,0.8,0.8,0.3,1.0,0.2,0.5,0.7,0.5,0.3,0.7,0.9,-2.8,0.1,0.5,-0.5,0.7,1.9,0.5,1.1,-0.6,1.6,0.7,0.4,0.5,-0.3,0.1,0.2,0.4,0.1,0.4,0.2,-0.1,0.5,0.9,0.4
"민간",0.1,0.4,0.2,0.1,0.3,0.6,0.5,0.3,0.7,0.1,0.2,0.4,0.3,0.1,0.4,0.6,-3.1,0.0,0.4,-0.4,0.4,1.4,0.2,1.0,-0.6,1.4,0.6,0.0,0.3,0.0,0.0,0.1,0.3,0.0,0.2,0.1,-0.1,0.2,0.6,0.1
"가계",-0.1,0.3,0.2,0.1,0.3,0.5,0.5,0.3,0.5,0.2,0.2,0.3,0.3,0.0,0.4,0.6,-3.0,0.0,0.4,-0.4,0.5,1.3,0.2,0.9,-0.6,1.4,0.6,-0.1,0.2,-0.1,0.0,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.6,0.1
"가계에 봉사하는 비영리단체",0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,-0.1,0.1,0.0,0.1
"정부",0.3,0.1,0.0,0.1,0.1,0.2,0.3,0.0,0.3,0.1,0.3,0.4,0.1,0.2,0.3,0.3,0.3,0.1,0.1,-0.1,0.3,0.6,0.3,0.2,0.0,0.2,0.1,0.4,0.2,-0.3,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.2,0.2,0.2
"총자본형성",-0.8,1.5,1.3,0.4,1.4,0.4,0.0,0.3,0.9,-0.9,-1.6,0.6,0.4,0.7,-1.4,-0.1,1.0,0.5,-1.6,0.9,1.3,0.5,-1.1,0.3,-0.6,0.3,1.3,-0.3,0.5,-0.7,-0.5,-0.5,0.3,-0.4,0.3,-0.3,-0.4,-0.1,0.3,-0.4
"총고정자본형성",0.3,0.8,1.0,0.8,1.1,0.6,0.7,-0.8,0.7,-1.3,-0.6,0.2,-0.6,0.4,-0.2,0.6,0.3,-0.2,0.2,0.2,1.3,0.1,-0.7,0.2,-0.4,0.1,0.8,-0.2,-0.3,0.0,-0.1,-0.4,0.7,-0.6,0.0,-0.4,-0.3,-0.3,0.4,-0.6
"총고정자본형성(민간)",0.1,0.9,1.0,0.8,1.0,0.5,0.6,-0.7,0.8,-1.6,-0.4,-0.1,-0.1,-0.5,-0.2,0.5,0.1,0.1,0.5,0.4,1.0,0.4,-0.5,0.1,0.0,0.2,0.7,-0.5,0.0,-0.2,-0.3,-0.5,0.9,-0.5,-0.3,-0.3,-0.4,-0.2,0.2,-0.4
"총고정자본형성(정부)",0.2,-0.1,0.0,0.0,0.1,0.0,0.1,-0.1,-0.1,0.3,-0.2,0.3,-0.5,0.9,0.1,0.1,0.1,-0.2,-0.2,-0.1,0.3,-0.2,-0.2,0.1,-0.4,-0.1,0.1,0.3,-0.3,0.2,0.2,0.1,-0.2,-0.1,0.3,-0.1,0.1,-0.1,0.2,-0.2
"건설투자",0.5,0.2,0.7,0.2,0.4,0.1,0.4,-0.4,0.0,-0.4,-0.4,0.0,-0.1,0.3,-0.2,0.6,0.1,-0.2,-0.3,0.1,0.3,-0.2,-0.3,0.1,-0.4,-0.1,0.1,0.0,0.0,-0.1,0.2,-0.6,0.7,-0.5,-0.5,-0.6,-0.4,-0.1,0.1,-0.4
