"계정항목별",2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4
"국내 소비지출",223833.4,225110.8,224551.3,226014.4,225875.2,227680.0,230737.0,231257.2,233924.6,235689.9,236916.8,238465.6,241103.3,241489.6,243690.1,246127.8,232216.1,233562.2,235763.1,233656.4,236164.2,243125.0,244523.8,249580.9,246261.0,253877.7,257018.7,256154.3,256520.0,256285.8,255704.2,255942.9,257012.9,257534.5,258185.5,259483.6,258748.2,260405.0,263970.8,264177.9
"식료품 및 비주류 음료",27686.2,27913.6,28216.4,28231.8,27860.9,27939.0,27875.9,28957.2,28053.2,28390.9,28285.1,28355.8,28167.8,29050.2,29108.8,29346.6,30098.1,29967.6,30531.7,30483.8,30874.4,30928.4,31884.6,31372.4,30799.9,30337.7,29528.3,30589.8,30313.2,30230.5,30385.9,30663.6,30341.1,30715.0,30640.1,31317.3,30542.2,30743.9,30225.8,31914.5
"주류 및 담배",4292.0,4100.4,4125.4,4090.8,4065.2,4026.5,3979.2,4086.6,3982.1,3959.5,3931.9,3948.1,3951.2,3873.9,3809.5,3849.4,3949.0,3905.8,4009.8,3770.7,3928.8,3925.1,3939.9,3951.3,4030.8,4111.1,4115.8,4026.4,3901.0,3978.7,3910.2,3955.4,3896.6,3936.8,3813.7,3819.8,3729.4,3857.2,3797.2,3749.6
"의류 및 신발",14949.4,15000.8,14701.8,14768.5,14670.1,14481.0,14485.3,14831.2,14627.8,14444.9,15123.8,15131.2,15324.3,14717.7,14728.0,14172.5,11662.5,12381.6,11952.9,12156.2,12333.6,13024.1,13437.2,13998.3,13367.5,14091.8,14316.7,13665.9,14327.2,13725.3,13385.1,13502.3,13764.6,13521.8,13389.4,13626.1,13853.1,13296.0,13802.8,13607.6
"주거, 수도, 전기, 가스 및 기타 연료",39546.7,39383.6,39697.7,39854.8,39634.5,40011.4,40376.4,40683.1,40900.6,41240.4,41665.5,41838.4,41884.4,42246.1,42407.1,42563.6,42865.4,43220.7,43089.8,43556.9,43372.0,44124.6,44278.1,44205.6,44238.7,44663.0,44900.1,44933.0,43767.5,44947.5,45145.7,45316.2,45125.9,45283.1,45763.9,45849.4,46305.4,46562.8,46490.7,46983.7
"가구, 가사 비품 및 기타 생활용품",7485.7,7547.5,7759.8,7773.9,7885.3,8151.2,8267.4,8221.3,8373.8,8787.5,8614.1,8726.2,8802.9,8876.7,8593.9,8809.2,9068.6,9741.3,10185.5,10185.9,10055.6,9865.0,9750.1,10147.2,9676.5,9039.2,9294.7,9147.8,9134.7,9143.2,9085.5,9128.7,9066.5,9434.6,9126.0,8934.3,8672.7,9152.1,9081.4,8773.2
"보건",10814.3,10934.5,10962.9,11166.4,11046.5,11309.1,11617.6,11195.5,11612.2,11804.3,11999.4,12339.6,12480.3,12825.4,13109.5,13457.6,12634.1,13011.7,13152.7,13135.7,13332.9,13875.4,14122.8,14507.0,15152.5,14655.1,15164.8,15233.3,15709.5,15962.6,16027.6,16421.4,16249.3,16648.6,17179.0,17372.4,17192.1,17882.6,18680.9,19055.4
"운송",23479.5,24560.3,22742.1,23941.2,23972.0,24142.4,24596.9,23752.0,25213.1,25057.9,24696.3,25036.1,25078.6,24546.2,25222.1,25847.7,23037.0,25000.1,24310.5,23980.5,23097.2,23264.9,22575.7,23516.3,23593.0,24922.6,26226.9,26397.2,26823.9,25962.4,25314.3,24683.9,25457.7,25307.3,25480.0,25227.4,24608.6,25256.5,25898.6,24764.6
"정보통신",11506.0,11493.9,11291.8,11649.4,11594.8,12103.4,12276.2,12592.3,12434.8,12306.4,12581.2,12570.7,12994.3,12799.8,12996.7,13229.8,13354.2,13804.3,14294.7,14420.7,14683.5,14862.0,15067.1,15229.8,15182.9,15211.8,15043.0,15348.6,15364.2,15338.4,15616.7,15685.1,15579.7,15346.5,16069.6,15646.0,15618.1,15803.5,16785.5,15917.2
"오락, 스포츠 및 문화",15890.6,16129.4,16292.1,16018.6,16063.9,16420.4,16701.1,17070.6,17530.5,17667.4,17445.5,17429.8,18487.0,18210.5,18582.3,18460.3,16619.8,13282.2,13711.4,14006.8,14910.1,15755.4,15909.0,17311.0,17319.9,19018.1,20392.1,19434.6,20749.9,20483.7,20795.6,21253.6,21010.9,21001.6,20984.0,21502.9,21103.0,20792.4,21270.5,22426.7
